NRGSTREAM Multiple Streams Extract as of: 17-Jul-2018 08:36:58 Static Extraction Range from  01-Jun-2007 00:00:00 to 01-Jul-2018 00:00:00,,,,,,,
PJM - DA Operating Reserve Rate,,,,,,,
PJM - East Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - East Bal Operating Reserve for Reliability RT Rate,,,,,,,
PJM - RTO Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - RTO Bal Operating Reserve for Reliability RT Rate,,,,,,,
PJM - West Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - West Bal Operating Reserve for Reliability RT Rate,,,,,,,
,,,,,,,
Number of records returned has been adjusted based on user settings or available data.,,,,,,,
,,,,,,,
Effective Date,PJM - DA Operating Reserve Rate Price USD/MWh,PJM - East Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - East Bal Operating Reserve for Reliability RT Rate Price USD/MWh,PJM - RTO Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - RTO Bal Operating Reserve for Reliability RT Rate Price USD/MWh,PJM - West Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - West Bal Operating Reserve for Reliability RT Rate Price USD/MWh
1/8/2013 0:00,0.018339,0.832618,0,2.577911,0.000823,0.068267,0.002364
1/9/2013 0:00,0.046386,0.160156,0,0.107057,0.040473,0,0
1/10/2013 0:00,0.070804,0,0,1.876553,0.005885,0,0
1/11/2013 0:00,0.107511,0.055897,0,1.443107,0.08414,0,0
1/12/2013 0:00,0.129345,0.194355,0,0.361344,0.045477,0,0
1/13/2013 0:00,0.128784,0.306217,0,0.377865,0.0228,0,0
1/14/2013 0:00,0.182475,0.75466,0,1.396489,0.002314,0,0
1/15/2013 0:00,0.109591,1.665492,0,0.295836,0.000707,0.585273,0
1/16/2013 0:00,0.150108,0.188124,0,0.475548,0.033053,0,0
1/17/2013 0:00,0.142957,1.619166,0,1.150313,0.04782,0,0.029882
1/18/2013 0:00,0.212377,2.858315,0.002467,2.862115,0.075798,0,0
1/19/2013 0:00,0.042352,12.436414,0,0.108797,0.003715,0,0
1/20/2013 0:00,0.021181,12.206293,0,0.025465,0.006959,0,0.089834
1/21/2013 0:00,0.012827,12.6725,0,0.83258,0.012258,0,0.029263
1/22/2013 0:00,0.068652,9.04982,0.226999,8.799428,0.135927,0.143954,0
1/23/2013 0:00,0.006206,1.786315,0.742584,10.736384,0.802072,0.953094,0
1/24/2013 0:00,0.083729,17.050171,2.88712,6.576748,0.722957,0.026906,0
1/25/2013 0:00,0.170857,15.796558,0,12.368727,0.338176,0,0
1/26/2013 0:00,0.037314,5.685791,0,0.261074,0.12558,0,0
1/27/2013 0:00,0.115491,9.758759,0,0.888618,0.021981,0,0
1/28/2013 0:00,0.073359,6.961375,0.015983,0.797206,0.09673,0,0
1/29/2013 0:00,0.102509,7.464256,0,0.807912,0.025219,0,0.120616
1/30/2013 0:00,0.036731,0,0,1.200167,0.011395,0,0
1/31/2013 0:00,0.022244,0,0,0.739948,0.005066,0.138628,0
2/1/2013 0:00,0.102362,12.265189,0.033377,2.071393,0.001685,0.802915,0
2/2/2013 0:00,0.124354,18.666879,0.128741,0.218679,0.026718,0.203732,0
2/3/2013 0:00,0.032994,19.69383,0.010273,2.645285,0.027248,0,0
2/4/2013 0:00,0.048841,18.775182,0.042328,0.39883,0.003708,0,0
2/5/2013 0:00,0.035808,19.297257,0.025279,0.506942,0.001947,0,0
2/6/2013 0:00,0.0323,8.038877,0.005502,1.531407,0.036523,0,0
2/7/2013 0:00,0.08563,12.398634,0.016817,1.637005,0.004785,0,0
2/8/2013 0:00,0.068494,3.38775,0.015897,0.94473,0.009547,0,0
2/9/2013 0:00,0.031932,32.766779,0.042603,0.080613,0.009016,0,0
2/10/2013 0:00,0.032852,29.670072,0.0371,2.522046,0.001547,0,0
